station id,station name,station latitude,station longitude,Station Type
3430,Richardson St & N Henry St,40.71907891179564,-73.94223690032959,start
3736,E 12 St & Ave C,40.727243,-73.976831,start
363,West Thames St,40.70834698,-74.01713445,start
530,11 Ave & W 59 St,40.771496710544405,-73.99046033620834,start
152,Warren St & W Broadway,40.71473993,-74.00910627,start
3383,Cathedral Pkwy & Broadway,40.804213,-73.96699104,start
3302,Columbus Ave & W 103 St,40.7969347,-73.9643412291,start
532,S 5 Pl & S 5 St,40.710451,-73.960876,start
3160,Central Park West & W 76 St,40.77896784,-73.97374737,start
3236,W 42 St & Dyer Ave,40.75898481399634,-73.99379968643187,start
4121,1 Ave & E 39 St,40.74714,-73.97113,start
3368,5 Ave & 3 St,40.672815500000006,-73.98352355,start
3994,2 Ave & E 125 St,40.802554,-73.933509,start
3400,E 110 St & Madison Ave,40.796153499999996,-73.94782145,start
2009,Catherine St & Monroe St,40.71117444,-73.99682619,start
3462,E 44 St & 2 Ave,40.75118387463277,-73.97138714790343,start
460,S 4 St & Wythe Ave,40.71285887,-73.96590294,start
3576,Park Pl & Vanderbilt Ave,40.6767,-73.969024,start
3286,E 89 St & 3 Ave,40.7806284,-73.9521667,start
3571,Bedford Ave & Bergen St,40.676368,-73.95291800000001,start
2006,Central Park S & 6 Ave,40.76590936,-73.97634151,start
3812,University Pl & E 14 St,40.734814,-73.992085,start
3508,St Nicholas Ave & Manhattan Ave,40.809725,-73.953149,start
4044,8 Ave & W 38 St,40.75461,-73.99176999999999,start
3255,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,start
3284,E 88 St & Park Ave,40.781410700190015,-73.95595908164978,start
3814,E 56 St & Madison Ave,40.761573,-73.972628,start
251,Mott St & Prince St,40.72317958,-73.99480012,start
3498,Pleasant Ave & E 120 St,40.7974772,-73.9311847,start
501,FDR Drive & E 35 St,40.744219,-73.97121214,start
4005,St. Nicholas Terrace & Convent Ave,40.821294,-73.947868,start
347,Greenwich St & W Houston St,40.728846000000004,-74.00859100000001,start
3161,W 76 St & Columbus Ave,40.7801839724239,-73.97728532552719,start
3765,Bushwick Ave & Stagg St,40.709897,-73.94008000000001,start
3327,3 Ave & E 100 St,40.787721399999995,-73.94728331,start
3296,E 93 St & 2 Ave,40.78245417527987,-73.94891962409021,start
528,2 Ave & E 31 St,40.74290902,-73.97706058,start
161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,start
408,Market St & Cherry St,40.71076228,-73.99400398,start
3159,W 67 St & Broadway,40.77492513,-73.98266566,start
3452,Bayard St & Leonard St,40.71915571696044,-73.94885390996933,start
393,E 5 St & Avenue C,40.72299208,-73.97995466,start
311,Norfolk St & Broome St,40.7172274,-73.98802084,start
3331,Riverside Dr & W 104 St,40.8013434,-73.97114574390001,start
3065,Union Ave & Wallabout St,40.70029511,-73.95032283,start
72,W 52 St & 11 Ave,40.76727216,-73.99392888,start
3077,Stagg St & Union Ave,40.70877084,-73.95095259,start
